Player ID,Team,Birth,Role,KDA,Kill Participation,Games Played,Win Rate
Faker,T1,"May 7, 1996 (age 26)",Mid Laner,4.42,-,1046,0.679
Chovy,Gen.G,"March 3, 2001 (age 21)",Mid Laner,5.32,0.652,473,0.613
Canyon,DWG KIA,"June 18, 2001 (age 20)",Jungler,4.37,0.688,436,0.679
Impact,Evil Geniuses,"March 7, 1995 (age 27)",Top Laner,3.56,-,770,0.627
GALA,RNG,"February 14, 2001 (age 21)",Bot Laner,4.87,0.654,430,0.605
Jankos,G2 Esports,"July 23, 1995 (age 26)",Jungler,4.2,-,710,0.606
Wunder,Fnatic,"November 9, 1998 (age 23)",Top Laner,2.98,-,535,0.598
Xiaohu,RNG,"January 28, 1998 (age 24)",Mid Laner,4.5,-,961,0.627
Scout,EDward Gaming,"March 14, 1998 (age 24)",Mid Laner,4.9,0.7040000000000001,692,0.624
Rekkles,Karmine Corp,"September 20, 1996 (age 25)",Bot Laner,6.54,-,738,0.596
